domain,term,normalized_type,normalized_code,normalized_name,confidence,requires_confirmation,notes
department,个人金融部,dept_account,Y1,个人金融部,1.00,false,exact_match
department,个人金融,dept_account,Y1,个人金融部,0.88,true,auto_alias_remove_suffix
department,泛开鑫贷,dept_account,Y10,泛开鑫贷,1.00,false,exact_match
department,开鑫贷单品,dept_account,Y100,开鑫贷单品,1.00,false,exact_match
department,开户贷,dept_account,Y101,开户贷,1.00,false,exact_match
department,开心账户,dept_account,Y11,开心账户,1.00,false,exact_match
department,开心账户存款,dept_account,Y110,开心账户存款,1.00,false,exact_match
department,开心账户理财,dept_account,Y111,开心账户理财,1.00,false,exact_match
department,企业金融部,dept_account,Y2,企业金融部,1.00,false,exact_match
department,企业金融,dept_account,Y2,企业金融部,0.88,true,auto_alias_remove_suffix
department,小微业务团队,dept_account,Y20,小微业务团队,1.00,false,exact_match
department,普惠金融部,dept_account,Y3,普惠金融部,1.00,false,exact_match
department,普惠金融,dept_account,Y3,普惠金融部,0.88,true,auto_alias_remove_suffix
department,科技事业部,dept_account,Y4,科技事业部,1.00,false,exact_match
department,科技事业,dept_account,Y4,科技事业部,0.88,true,auto_alias_remove_suffix
department,境外金融部,dept_account,Y5,境外金融部,1.00,false,exact_match
department,境外金融,dept_account,Y5,境外金融部,0.88,true,auto_alias_remove_suffix
department,司库部门,dept_account,Y6,司库部门,1.00,false,exact_match
department,其他部门,dept_account,Y7,其他部门,1.00,false,exact_match
product,个人住房贷款,product_type,Z0001,个人住房贷款,1.00,false,exact_match
product,企业流动资金贷款,product_type,Z0002,企业流动资金贷款,1.00,false,exact_match
product,结构性存款,product_type,Z0003,结构性存款,1.00,false,exact_match
product,理财产品A,product_type,Z0004,理财产品A,1.00,false,exact_match
product,汽车消费贷款,product_type,Z0005,汽车消费贷款,1.00,false,exact_match
product,零售存款,product_type,Z0017,零售存款,1.00,false,exact_match
product,一般司库,product_type,Z1001,一般司库,1.00,false,exact_match
product,其他小小产品,product_type,Z2001,其他小小产品,1.00,false,exact_match
product,司库对业务内部资产负债,product_type,Z9000,司库对业务内部资产负债,1.00,false,exact_match
data_account,存放央行法定准备金-日均,data_account,A1001,存放央行法定准备金-日均,1.00,false,exact_match
data_account,存放央行超额准备金-日均,data_account,A1010,存放央行超额准备金-日均,1.00,false,exact_match
data_account,存放同业活期资产-日均,data_account,A1020,存放同业活期资产-日均,1.00,false,exact_match
data_account,存放同业定期资产-日均,data_account,A1021,存放同业定期资产-日均,1.00,false,exact_match
data_account,存放同业其他资产-日均,data_account,A1022,存放同业其他资产-日均,1.00,false,exact_match
data_account,拆放同业资产-日均,data_account,A1030,拆放同业资产-日均,1.00,false,exact_match
data_account,买入返售资产-日均,data_account,A1040,买入返售资产-日均,1.00,false,exact_match
data_account,同业存单投资-日均,data_account,A1050,同业存单投资-日均,1.00,false,exact_match
data_account,同业货基投资-日均,data_account,A1060,同业货基投资-日均,1.00,false,exact_match
data_account,同业债基投资-日均,data_account,A1061,同业债基投资-日均,1.00,false,exact_match
data_account,国债投资-日均,data_account,A1100,国债投资-日均,1.00,false,exact_match
data_account,地方债投资-日均,data_account,A1101,地方债投资-日均,1.00,false,exact_match
data_account,政策性金融债投资-日均,data_account,A1102,政策性金融债投资-日均,1.00,false,exact_match
data_account,开心贷单品-日均,data_account,A1200,开心贷单品-日均,1.00,false,exact_match
data_account,开心贷分期-日均,data_account,A1201,开心贷分期-日均,1.00,false,exact_match
data_account,同业基金,data_account,A3000,同业基金,1.00,false,exact_match
data_account,拆放同业,data_account,B1001,拆放同业,1.00,false,exact_match
data_account,公司存款,data_account,M0001,公司存款,1.00,false,exact_match
data_account,其他负债,data_account,M1002,其他负债,1.00,false,exact_match
data_account,开心贷款规模,data_account,N1001,开心贷款规模,1.00,false,exact_match
data_account,开心贷款利率,data_account,N1002,开心贷款利率,1.00,false,exact_match
data_account,开心贷款利息收入,data_account,N1003,开心贷款利息收入,1.00,false,exact_match
data_account,开心贷款有效客户数,data_account,N1004,开心贷款有效客户数,1.00,false,exact_match
budget_keyword,预算,builtin_budget_term,kw_budget,预算,0.98,false,intent_router_seed
budget_keyword,实际,builtin_budget_term,kw_actual,实际,0.98,false,intent_router_seed
budget_keyword,预实,builtin_budget_term,kw_budget_actual,预算与实际,0.98,false,intent_router_seed
budget_keyword,收入,builtin_budget_term,kw_income,收入,0.95,false,intent_router_seed
budget_keyword,利息,builtin_budget_term,kw_interest,利息,0.95,false,intent_router_seed
budget_keyword,费用,builtin_budget_term,kw_expense,费用,0.95,false,intent_router_seed
budget_keyword,利润,builtin_budget_term,kw_profit,利润,0.95,false,intent_router_seed
budget_keyword,拨备,builtin_budget_term,kw_provision,拨备,0.95,false,intent_router_seed
budget_keyword,净息差,builtin_budget_term,kw_nim_cn,净息差,0.98,false,intent_router_seed
budget_keyword,NIM,builtin_budget_term,kw_nim_en,净息差,0.98,false,intent_router_seed
budget_keyword,ROE,builtin_budget_term,kw_roe,净资产收益率,0.98,false,intent_router_seed
budget_keyword,部门,builtin_budget_term,kw_department,部门,0.95,false,intent_router_seed
budget_keyword,产品,builtin_budget_term,kw_product,产品,0.95,false,intent_router_seed
budget_keyword,科目,builtin_budget_term,kw_subject,科目,0.98,false,intent_router_seed
budget_keyword,支行,builtin_budget_term,kw_branch,支行,0.95,false,intent_router_seed
