report_acct_code,report_acct_name,parent_code,is_summary,is_minus,level,data_acct_code,data_acct_name,value_type
X010101,"存放央行日均",X0101,1,0,3,A1001,"存放央行法准_表内日均","金额"
X010101,"存放央行日均",X0101,1,0,3,A1010,"存放央行超备_表内日均","金额"
X01010201,"存放同业日均",X010102,1,0,4,A1020,"金融市场_存放同业活期资产_日均","金额"
X01010201,"存放同业日均",X010102,1,0,4,A1021,"存放同业定期资产_日均","金额"
X01010201,"存放同业日均",X010102,1,0,4,A1022,"存放同业其他资产_日均","金额"
X01010201,"存放同业日均",X010102,1,0,4,A4003,"司库_存放同业活期资产_日均","金额"
X0101020101,"存放同业活期日均",X01010201,1,0,5,A1020,"金融市场_存放同业活期资产_日均","金额"
X0101020101,"存放同业活期日均",X01010201,1,0,5,A4003,"司库_存放同业活期资产_日均","金额"
X0101020102,"存放同业定期日均",X01010201,1,0,5,A1021,"存放同业定期资产_日均","金额"
X01010202,"拆放同业日均",X010102,1,0,4,A1030,"拆放同业资产_日均","金额"
X01010203,"买入返售资产日均",X010102,1,0,4,A1040,"买入返售资产_日均","金额"
X01010204,"同业存单投资日均",X010102,1,0,4,A1050,"同业存单投资_日均","金额"
X01010205,"同业基金投资日均",X010102,1,0,4,A1060,"同业货基投资_日均","金额"
X01010205,"同业基金投资日均",X010102,1,0,4,A1061,"同业债基投资_日均","金额"
X0101020601,"利率债投资日均",X01010206,1,0,5,A1100,"利率债投资_日均","金额"
X0101020602,"信用债投资日均",X01010206,1,0,5,A1101,"信用债投资_日均","金额"
X0101020603,"政策性金融债投资日均",X01010206,1,0,5,A1102,"政策性金融债投资_日均","金额"
X0101020701,"资产支持证券（ABS）日均",X01010207,1,0,5,A1103,"资产支持证券（ABS）日均","金额"
X01010301,"一般性贷款日均",X010103,1,0,4,A1200,"开鑫贷（消费）_一般性贷款_日均","金额"
X01010301,"一般性贷款日均",X010103,1,0,4,A1201,"票据直贴_日均","金额"
X01010301,"一般性贷款日均",X010103,1,0,4,A1203,"福费廷_日均","金额"
X01010301,"一般性贷款日均",X010103,1,0,4,A1204,"开鑫贷分期纯自营贷款表内_日均","金额"
X01010301,"一般性贷款日均",X010103,1,0,4,A3161,"车车贷单品贷款资产_表内日均","金额"
X01010301,"一般性贷款日均",X010103,1,0,4,A4004,"开鑫贷（经营）_一般性贷款_日均","金额"
X01010301,"一般性贷款日均",X010103,1,0,4,A4005,"导流_一般性贷款_日均","金额"
X01010301,"一般性贷款日均",X010103,1,0,4,A4006,"小小容易贷_一般性贷款_日均","金额"
X01010301,"一般性贷款日均",X010103,1,0,4,A4007,"开鑫贷（分期）_一般性贷款_日均","金额"
X01010301,"一般性贷款日均",X010103,1,0,4,A4008,"开鑫贷（分期）_一般性贷款_日均","金额"
X01010301,"一般性贷款日均",X010103,1,0,4,A4009,"汽车金融_一般性贷款_日均","金额"
X01010301,"一般性贷款日均",X010103,1,0,4,A4010,"财富贷款_一般性贷款_日均","金额"
X01010301,"一般性贷款日均",X010103,1,0,4,A4011,"大鸭花钱_一般性贷款_日均","金额"
X01010301,"一般性贷款日均",X010103,1,0,4,A4012,"常规业务_一般性贷款_日均","金额"
X01010301,"一般性贷款日均",X010103,1,0,4,A4013,"战略业务_一般性贷款_日均","金额"
X01010302,"票据融资日均",X010103,1,0,4,A1201,"票据直贴_日均","金额"
X01010302,"票据融资日均",X010103,1,0,4,A1202,"票据转贴_日均","金额"
X01010302,"票据融资日均",X010103,1,0,4,A1203,"福费廷_日均","金额"
X01010302,"票据融资日均",X010103,1,0,4,A1250,"企企贷贷款资产_表内日均","金额"
X01020101,"个人存款日均",X010201,1,0,4,A3100,"开鑫贷（消费）_活期储蓄存款_日均","金额"
X01020101,"个人存款日均",X010201,1,0,4,A3120,"财富存款和理财_定期储蓄存款_日均","金额"
X01020101,"个人存款日均",X010201,1,0,4,A4023,"开鑫贷（经营）_活期储蓄存款_日均","金额"
X01020101,"个人存款日均",X010201,1,0,4,A4024,"导流_活期储蓄存款_日均","金额"
X01020101,"个人存款日均",X010201,1,0,4,A4025,"小小容易贷_活期储蓄存款_日均","金额"
X01020101,"个人存款日均",X010201,1,0,4,A4026,"小小账户_活期储蓄存款_日均","金额"
X01020101,"个人存款日均",X010201,1,0,4,A4027,"财富存款和理财_活期储蓄存款_日均","金额"
X01020101,"个人存款日均",X010201,1,0,4,A4028,"大鸭花钱_活期储蓄存款_日均","金额"
X01020101,"个人存款日均",X010201,1,0,4,A4029,"常规业务_活期储蓄存款_日均","金额"
X01020101,"个人存款日均",X010201,1,0,4,A4030,"战略业务_活期储蓄存款_日均","金额"
X01020101,"个人存款日均",X010201,1,0,4,A4031,"常规业务_定期储蓄存款_日均","金额"
X01020101,"个人存款日均",X010201,1,0,4,A4032,"战略业务_定期储蓄存款_日均","金额"
X01020102,"企业存款日均",X010201,1,0,4,A3150,"汽车金融_单位活期存款_日均","金额"
X01020102,"企业存款日均",X010201,1,0,4,A3160,"常规业务_单位定期存款_日均","金额"
X01020102,"企业存款日均",X010201,1,0,4,A4033,"常规业务_单位活期存款_日均","金额"
X01020102,"企业存款日均",X010201,1,0,4,A4034,"战略业务_单位活期存款_日均","金额"
X01020102,"企业存款日均",X010201,1,0,4,A4035,"票据直贴_单位活期存款_日均","金额"
X01020102,"企业存款日均",X010201,1,0,4,A4036,"票据转贴_单位活期存款_日均","金额"
X01020102,"企业存款日均",X010201,1,0,4,A4037,"贸易融资_单位活期存款_日均","金额"
X01020102,"企业存款日均",X010201,1,0,4,A4038,"战略业务_单位定期存款_日均","金额"
X01020102,"企业存款日均",X010201,1,0,4,A4039,"票据直贴_单位定期存款_日均","金额"
X01020102,"企业存款日均",X010201,1,0,4,A4040,"票据转贴_单位定期存款_日均","金额"
X01020102,"企业存款日均",X010201,1,0,4,A4041,"贸易融资_单位定期存款_日均","金额"
X01020201,"同业存款日均",X010202,1,0,4,A3000,"开鑫贷（消费）_同业存放活期负债_日均","金额"
X01020201,"同业存款日均",X010202,1,0,4,A3001,"同业存放定期负债_日均","金额"
X01020201,"同业存款日均",X010202,1,0,4,A4014,"开鑫贷（经营）_同业存放活期负债_日均","金额"
X01020201,"同业存款日均",X010202,1,0,4,A4015,"导流_同业存放活期负债_日均","金额"
X01020201,"同业存款日均",X010202,1,0,4,A4016,"小小容易贷_同业存放活期负债_日均","金额"
X01020201,"同业存款日均",X010202,1,0,4,A4017,"开鑫贷（分期）_同业存放活期负债_日均","金额"
