数据科目代码,冲突字段,现在版本值,被合并值,处理策略
A1100,数据科目名称,国债投资_日均,利率债投资_日均,保留现在版本
A1101,数据科目名称,地方债投资_日均,信用债投资_日均,保留现在版本
A1200,数据科目名称,开鑫贷单品联贷自持表内贷款_日均,一般性贷款_日均,保留现在版本
A1201,数据科目名称,开鑫贷分期联贷自持表内贷款_日均,票据直贴_日均,保留现在版本
A1203,数据科目名称,开鑫贷单品纯自营贷款表内_日均,福费廷_日均,保留现在版本
A3000,数据科目名称,同业存放活期负债_表内日均,同业存放活期负债_日均,保留现在版本
A3100,数据科目名称,开心小账户存款_日均,活期储蓄存款_日均,保留现在版本
A3120,数据科目名称,其他小小产品存款_日均,定期储蓄存款_日均,保留现在版本
A3150,数据科目名称,企小乐存款_日均,单位活期存款_日均,保留现在版本
A3160,数据科目名称,小企业保证金存款_日均,单位定期存款_日均,保留现在版本
C1200,数据科目名称,开鑫贷单品贷款利息收入,一般性贷款利息收入,保留现在版本
C1200,是否需重计算,1,0,保留现在版本
C1201,数据科目名称,开鑫贷分期贷款利息收入,票据直贴利息收入,保留现在版本
C1201,是否需重计算,1,0,保留现在版本
C1250,数据科目名称,企企贷贷款利息收入,票据转贴利息收入,保留现在版本
C1250,是否需重计算,1,0,保留现在版本
C3101,数据科目名称,开心小账户存款_内部FTP利息收入,活期储蓄存款_FTP利息收入,保留现在版本
C3101,是否需重计算,1,0,保留现在版本
C3121,数据科目名称,其他小小产品存款_内部FTP利息收入,定期储蓄存款_FTP利息收入,保留现在版本
C3121,是否需重计算,1,0,保留现在版本
C3151,数据科目名称,企小乐存款_内部FTP利息收入,单位活期存款_FTP利息收入,保留现在版本
C3151,是否需重计算,1,0,保留现在版本
C3161,数据科目名称,小企业保证金存款_内部FTP利息收入,单位定期存款_FTP利息收入,保留现在版本
C3161,是否需重计算,1,0,保留现在版本
C4001,数据科目名称,其他其他产品营业收入,合作贷款平台费,保留现在版本
C5200,数据科目名称,开鑫贷单品表内风险成本_减值损失,风险成本_基础拨备,保留现在版本
C5201,数据科目名称,开鑫贷分期表内风险成本_减值损失,风险成本_超额拨备,保留现在版本
C7001,数据科目名称,非IT常规人力薪金,常规人力_薪金_IT,保留现在版本
C7011,数据科目名称,非IT人力费用_专项奖金,常规人力_年度奖金_IT,保留现在版本
C7012,数据科目名称,非IT人力费用_特别奖金,常规人力_年度奖金_非IT,保留现在版本
C7100,数据科目名称,产品营销费用_直接营销,营销费用,保留现在版本
C8550,产品科目名称,(公司级),(全部产品),保留现在版本
C8560,产品科目名称,(公司级),(全部产品),保留现在版本
C9001,产品科目名称,(公司级),(全部产品),保留现在版本
C9002,产品科目名称,(公司级),(全部产品),保留现在版本
C9003,数据科目名称,车车贷单品贷款利息收入,福费廷利息收入,保留现在版本
C9003,产品科目代码,Z0004,Z02010303,"并集合并为: Z0004,Z02010303"
C9003,是否需重计算,1,0,保留现在版本
C9004,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
C9004,是否需重计算,1,0,保留现在版本
C9005,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
C9005,是否需重计算,1,0,保留现在版本
C9007,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
C9007,是否需重计算,1,0,保留现在版本
C9008,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
C9008,是否需重计算,1,0,保留现在版本
C9009,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
C9009,是否需重计算,1,0,保留现在版本
C9010,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
C9010,是否需重计算,1,0,保留现在版本
C9011,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
C9011,是否需重计算,1,0,保留现在版本
C9012,数据科目名称,国债投资利息收入,利率债投资利息收入,保留现在版本
C9012,产品科目代码,Z1001,Z0202,"并集合并为: Z1001,Z0202"
C9012,是否需重计算,1,0,保留现在版本
C9013,数据科目名称,地方债投资利息收入,信用债投资利息收入,保留现在版本
C9013,产品科目代码,Z1001,Z0202,"并集合并为: Z1001,Z0202"
C9013,是否需重计算,1,0,保留现在版本
C9014,数据科目名称,政策性金融债投资利息收入,资产支持证券（ABS）利息收入,保留现在版本
C9014,产品科目代码,Z1001,Z0202,"并集合并为: Z1001,Z0202"
C9014,是否需重计算,1,0,保留现在版本
C9015,数据科目名称,开鑫贷单品贷款内部FTP利息支出,一般性贷款利息收入,保留现在版本
C9015,产品科目代码,Z0001,"Z01010101,Z01010102,Z01010103,Z01010104,Z010102,Z01010201,Z0103,Z010402,Z0105,Z020101,Z020102","并集合并为: Z0001,Z01010101,Z01010102,Z01010103,Z01010104,Z010102,Z01010201,Z0103,Z010402,Z0105,Z020101,Z020102"
C9015,是否需重计算,1,0,保留现在版本
C9016,数据科目名称,企企贷单品贷款内部FTP利息支出,票据直贴利息收入,保留现在版本
C9016,产品科目代码,Z0002,Z02010301,"并集合并为: Z0002,Z02010301"
C9016,是否需重计算,1,0,保留现在版本
C9017,数据科目名称,开鑫贷分期贷款内部FTP利息支出,票据转贴利息收入,保留现在版本
C9017,产品科目代码,Z0003,Z02010301,"并集合并为: Z0003,Z02010301"
C9017,是否需重计算,1,0,保留现在版本
C9018,数据科目名称,车车贷单品贷款内部FTP利息支出,福费廷利息收入,保留现在版本
C9018,产品科目代码,Z0004,Z02010303,"并集合并为: Z0004,Z02010303"
C9018,是否需重计算,1,0,保留现在版本
C9019,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
C9019,是否需重计算,1,0,保留现在版本
C9021,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
C9021,是否需重计算,1,0,保留现在版本
C9023,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
C9023,是否需重计算,1,0,保留现在版本
C9024,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
C9024,是否需重计算,1,0,保留现在版本
C9025,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
C9025,是否需重计算,1,0,保留现在版本
C9026,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
C9026,是否需重计算,1,0,保留现在版本
C9027,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
C9027,是否需重计算,1,0,保留现在版本
C9028,数据科目名称,地方债投资内部FTP利息支出,利率债投资内部FTP利息支出,保留现在版本
C9028,产品科目代码,Z1001,Z0202,"并集合并为: Z1001,Z0202"
C9028,是否需重计算,1,0,保留现在版本
C9029,数据科目名称,政策性金融债投资内部FTP利息支出,信用债投资内部FTP利息支出,保留现在版本
C9029,产品科目代码,Z1001,Z0202,"并集合并为: Z1001,Z0202"
C9029,是否需重计算,1,0,保留现在版本
E1200,数据科目名称,开鑫贷单品联合贷款_日均总额,表内贷款时点余额,保留现在版本
E1201,数据科目名称,开鑫贷分期联合贷款_日均总额,联合贷款时点余额,保留现在版本
F3100,数据科目名称,开心小账户管理资产_日均总额,各项存款余额,保留现在版本
F3150,数据科目名称,企小乐管理资产_日均总额,各项存款日均,保留现在版本
K1200,数据科目名称,开鑫贷单品贷款收益率_年化,一般性贷款收益率_年化,保留现在版本
K1200,是否需重计算,1,0,保留现在版本
K1201,数据科目名称,开鑫贷分期贷款收益率_年化,票据直贴收益率_年化,保留现在版本
K1201,是否需重计算,1,0,保留现在版本
K1250,数据科目名称,企企贷贷款收益率_年化,福费廷收益率_年化,保留现在版本
K1250,是否需重计算,1,0,保留现在版本
K1251,数据科目名称,车车贷单品贷款收益率_年化,票据转贴收益率_年化,保留现在版本
K1251,产品科目代码,Z0004,Z02010301,"并集合并为: Z0004,Z02010301"
K1251,是否需重计算,1,0,保留现在版本
K1252,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
K1252,是否需重计算,1,0,保留现在版本
K1253,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
K1253,是否需重计算,1,0,保留现在版本
K1255,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
K1255,是否需重计算,1,0,保留现在版本
K1256,产品科目代码,Z1002,Z0202,"并集合并为: Z1002,Z0202"
K1256,是否需重计算,1,0,保留现在版本
K1257,数据科目名称,同业存单投资收益率_年化,同业存单投资资产收益率_年化,保留现在版本
