entity_type,entity_code,entity_name,source_table,parent_code,level,value_type,description,status,last_verified_at
metric_node,A,个金群,data_account_metric_node,,1,,product=A; local=; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A01,泛微粒贷,data_account_metric_node,,1,,product=A01; local=; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A02,微账户,data_account_metric_node,,1,,product=A02; local=; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A03,汽车金融,data_account_metric_node,,1,,product=A03; local=; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A04,财富,data_account_metric_node,,1,,product=A04; local=; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A05,小鹅,data_account_metric_node,,1,,product=A05; local=; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,B,企金群,data_account_metric_node,,1,,product=B; local=; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,B01,企业金融,data_account_metric_node,,1,,product=B01; local=; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,B02,金融市场,data_account_metric_node,,1,,product=B02; local=; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,C,数字金融,data_account_metric_node,,1,,product=C; local=; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,C01,国内业务,data_account_metric_node,,1,,product=C01; local=; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,C02,国内研发,data_account_metric_node,,1,,product=C02; local=; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,CORP,微众银行,data_account_metric_node,,1,,product=CORP; local=; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,D,国际业务,data_account_metric_node,,1,,product=D; local=; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,D01,国际业务,data_account_metric_node,,1,,product=D01; local=; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,E,小鹅导流,data_account_metric_node,,1,,product=E; local=; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,E01,小鹅导流,data_account_metric_node,,1,,product=E01; local=; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,F,司库及其他,data_account_metric_node,,1,,product=F; local=; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,F01,司库及其他,data_account_metric_node,,1,,product=F01; local=; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A.00,统一业务指标树,data_account_metric_node,A,2,,product=A; local=00; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A.01,规模余额指标,data_account_metric_node,A,2,,product=A; local=01; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A.09,验收E2E指标根,data_account_metric_node,A,2,,product=A; local=09; functional_group=; type=GROUP,active,2026-05-31T00:00:00+08:00
metric_node,A.02,利率费率指标,data_account_metric_node,A,2,,product=A; local=02; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A.03,收入指标,data_account_metric_node,A,2,,product=A; local=03; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A.04,成本支出指标,data_account_metric_node,A,2,,product=A; local=04; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A.05,费用指标,data_account_metric_node,A,2,,product=A; local=05; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A.06,风险指标,data_account_metric_node,A,2,,product=A; local=06; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A.07,税费指标,data_account_metric_node,A,2,,product=A; local=07; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A.08,利润损益结果,data_account_metric_node,A,2,,product=A; local=08; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A01.00,统一业务指标树,data_account_metric_node,A01,2,,product=A01; local=00; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A01.01,规模余额指标,data_account_metric_node,A01,2,,product=A01; local=01; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A01.09,验收E2E指标根,data_account_metric_node,A01,2,,product=A01; local=09; functional_group=; type=GROUP,active,2026-05-31T00:00:00+08:00
metric_node,A01.02,利率费率指标,data_account_metric_node,A01,2,,product=A01; local=02; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A01.03,收入指标,data_account_metric_node,A01,2,,product=A01; local=03; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A01.04,成本支出指标,data_account_metric_node,A01,2,,product=A01; local=04; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A01.05,费用指标,data_account_metric_node,A01,2,,product=A01; local=05; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A01.06,风险指标,data_account_metric_node,A01,2,,product=A01; local=06; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A01.07,税费指标,data_account_metric_node,A01,2,,product=A01; local=07; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A01.08,利润损益结果,data_account_metric_node,A01,2,,product=A01; local=08; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A02.00,统一业务指标树,data_account_metric_node,A02,2,,product=A02; local=00; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A02.01,规模余额指标,data_account_metric_node,A02,2,,product=A02; local=01; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A02.09,验收E2E指标根,data_account_metric_node,A02,2,,product=A02; local=09; functional_group=; type=GROUP,active,2026-05-31T00:00:00+08:00
metric_node,A02.02,利率费率指标,data_account_metric_node,A02,2,,product=A02; local=02; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A02.03,收入指标,data_account_metric_node,A02,2,,product=A02; local=03; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A02.04,成本支出指标,data_account_metric_node,A02,2,,product=A02; local=04; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A02.05,费用指标,data_account_metric_node,A02,2,,product=A02; local=05; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A02.06,风险指标,data_account_metric_node,A02,2,,product=A02; local=06; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A02.07,税费指标,data_account_metric_node,A02,2,,product=A02; local=07; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A02.08,利润损益结果,data_account_metric_node,A02,2,,product=A02; local=08; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A03.00,统一业务指标树,data_account_metric_node,A03,2,,product=A03; local=00; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A03.01,规模余额指标,data_account_metric_node,A03,2,,product=A03; local=01; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A03.09,验收E2E指标根,data_account_metric_node,A03,2,,product=A03; local=09; functional_group=; type=GROUP,active,2026-05-31T00:00:00+08:00
metric_node,A03.02,利率费率指标,data_account_metric_node,A03,2,,product=A03; local=02; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A03.03,收入指标,data_account_metric_node,A03,2,,product=A03; local=03; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A03.04,成本支出指标,data_account_metric_node,A03,2,,product=A03; local=04; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A03.05,费用指标,data_account_metric_node,A03,2,,product=A03; local=05; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A03.06,风险指标,data_account_metric_node,A03,2,,product=A03; local=06; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A03.07,税费指标,data_account_metric_node,A03,2,,product=A03; local=07; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A03.08,利润损益结果,data_account_metric_node,A03,2,,product=A03; local=08; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A04.00,统一业务指标树,data_account_metric_node,A04,2,,product=A04; local=00; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A04.01,规模余额指标,data_account_metric_node,A04,2,,product=A04; local=01; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A04.09,验收E2E指标根,data_account_metric_node,A04,2,,product=A04; local=09; functional_group=; type=GROUP,active,2026-05-31T00:00:00+08:00
metric_node,A04.02,利率费率指标,data_account_metric_node,A04,2,,product=A04; local=02; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A04.03,收入指标,data_account_metric_node,A04,2,,product=A04; local=03; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A04.04,成本支出指标,data_account_metric_node,A04,2,,product=A04; local=04; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A04.05,费用指标,data_account_metric_node,A04,2,,product=A04; local=05; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A04.06,风险指标,data_account_metric_node,A04,2,,product=A04; local=06; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A04.07,税费指标,data_account_metric_node,A04,2,,product=A04; local=07; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A04.08,利润损益结果,data_account_metric_node,A04,2,,product=A04; local=08; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A05.00,统一业务指标树,data_account_metric_node,A05,2,,product=A05; local=00; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
metric_node,A05.01,规模余额指标,data_account_metric_node,A05,2,,product=A05; local=01; functional_group=; type=CATEGORY,active,2026-05-31T00:00:00+08:00
