domain,term,normalized_type,normalized_code,normalized_name,confidence,requires_confirmation,notes
dept_account,个人金融事业群,dept_account,Y1,个人金融事业群,1.00,false,current_dept_exact
dept_account,个金事业群,dept_account,Y1,个人金融事业群,0.90,true,current_dept_alias
dept_account,个金条线,dept_account,Y1,个人金融事业群,0.88,true,current_dept_alias
dept_account,汽车金融部,dept_account,Y103,汽车金融部,1.00,false,current_dept_exact
dept_account,汽金部,dept_account,Y103,汽车金融部,0.92,true,current_dept_alias
dept_account,企业及机构金融事业群,dept_account,Y2,企业及机构金融事业群,1.00,false,current_dept_exact
dept_account,企金条线,dept_account,Y2,企业及机构金融事业群,0.88,true,current_dept_alias
dept_account,企业金融业务,dept_account,Y201,企业金融业务,1.00,false,current_dept_exact
dept_account,金融市场及同业部,dept_account,Y202,金融市场及同业部,1.00,false,current_dept_exact
dept_account,科技及智能事业群,dept_account,Y3,科技及智能事业群,1.00,false,current_dept_exact
dept_account,国际发展部,dept_account,Y4,国际发展部,1.00,false,current_dept_exact
dept_account,资产负债管理及企划部,dept_account,Y506,资产负债管理及企划部,1.00,false,current_dept_exact
dept_account,财务会计部,dept_account,Y507,财务会计部,1.00,false,current_dept_exact
org_product,微众银行,org_product,CORP,微众银行,1.00,false,current_product_exact
org_product,全行,org_product,CORP,微众银行,0.95,true,current_product_alias
org_product,个金群,org_product,A,个金群,1.00,false,current_product_exact
org_product,泛微粒贷,org_product,A01,泛微粒贷,1.00,false,current_product_exact
org_product,微粒贷,org_product,A01,泛微粒贷,0.92,true,current_product_alias
org_product,微账户,org_product,A02,微账户,1.00,false,current_product_exact
org_product,汽车金融,org_product,A03,汽车金融,1.00,false,current_product_exact
org_product,汽金,org_product,A03,汽车金融,0.92,true,current_product_alias
org_product,财富,org_product,A04,财富,1.00,false,current_product_exact
org_product,小鹅,org_product,A05,小鹅,1.00,false,current_product_exact
org_product,企金群,org_product,B,企金群,1.00,false,current_product_exact
org_product,企业金融,org_product,B01,企业金融,1.00,false,current_product_exact
org_product,金融市场,org_product,B02,金融市场,1.00,false,current_product_exact
org_product,司库及其他,org_product,F01,司库及其他,1.00,false,current_product_exact
metric_node,利息收入,metric_node,A.03.01,利息收入,0.86,true,current_metric_node_requires_scope
metric_node,净利息收入,metric_node,A.03.02,净利息收入,0.90,true,current_metric_node_requires_scope
metric_node,个金群利息收入,metric_node,A.03.01,利息收入,1.00,false,current_metric_node_exact
metric_node,个金群净利息收入,metric_node,A.03.02,净利息收入,1.00,false,current_metric_node_exact
metric_node,汽车金融利息收入,metric_node,A03.03.01,利息收入,1.00,false,current_metric_node_exact
metric_node,汽车金融净利息收入,metric_node,A03.03.02,净利息收入,1.00,false,current_metric_node_exact
metric_node,企业金融净利息收入,metric_node,B01.03.02,净利息收入,1.00,false,current_metric_node_exact
metric_node,金融市场净利息收入,metric_node,B02.03.02,净利息收入,1.00,false,current_metric_node_exact
data_account,个金群产品贷款利息收入,data_account,A.03.01.01.01.001,个金群产品贷款利息收入,1.00,false,current_data_account_exact
data_account,个金群利息收入,data_account,A.03.01.01.01.036,个金群利息收入,0.92,true,current_data_account_alias
data_account,汽金贷款利息收入,data_account,A03.03.01.01.01.078,汽金贷款利息收入,1.00,false,current_data_account_exact
data_account,汽车金融贷款利息收入,data_account,A03.03.01.01.01.078,汽金贷款利息收入,0.94,true,current_data_account_alias
data_account,企业金融利息净收入,data_account,B01.03.02.01.01.001,利息净收入,0.92,true,current_data_account_alias
data_account,金融市场利息净收入,data_account,B02.03.02.01.01.001,利息净收入,0.92,true,current_data_account_alias
data_account,司库利息净收入,data_account,F01.03.02.01.01.001,利息净收入,0.92,true,current_data_account_alias
budget_keyword,预算,builtin_budget_term,kw_budget,预算,0.98,false,intent_router_seed
budget_keyword,实际,builtin_budget_term,kw_actual,实际,0.98,false,intent_router_seed
budget_keyword,预实,builtin_budget_term,kw_budget_actual,预算与实际,0.98,false,intent_router_seed
budget_keyword,收入,builtin_budget_term,kw_income,收入,0.95,false,intent_router_seed
budget_keyword,利息,builtin_budget_term,kw_interest,利息,0.95,false,intent_router_seed
